timestamp_utc,ticker,pre_market_price,regular_prev_close,pre_change_pct,pre_volume,reason,meets_filter
2025-08-14T05:50:38.926714+00:00,AACB,,10.14,,57913,No pre-market data,False
2025-08-14T05:50:38.926732+00:00,AACBR,,0.2033,,1392,No pre-market data,False
2025-08-14T05:50:38.926738+00:00,AACBU,,10.31,,394,No pre-market data,False
2025-08-14T05:50:38.926742+00:00,AACG,,1.58,,133453,No pre-market data,False
2025-08-14T05:50:38.926745+00:00,AACI,,10.04,,1876286,No pre-market data,False
2025-08-14T05:50:38.926748+00:00,AACIU,,10.33,,443708,No pre-market data,False
2025-08-14T05:50:38.926751+00:00,AACIW,,0.24,,1716933,No pre-market data,False
2025-08-14T05:50:38.926754+00:00,AADR,,81.78,,2316,No pre-market data,False
2025-08-14T05:50:38.926757+00:00,AAL,,12.98,,64681445,No pre-market data,False
2025-08-14T05:50:38.926760+00:00,AALG,,14.03,,12719,No pre-market data,False
2025-08-14T05:50:38.926763+00:00,AAME,,2.5,,8941,No pre-market data,False
2025-08-14T05:50:38.926765+00:00,AAOI,,22.79,,4893436,No pre-market data,False
2025-08-14T05:50:38.926768+00:00,AAON,,82.95,,2758107,No pre-market data,False
2025-08-14T05:50:38.926771+00:00,AAPB,,24.85,,506953,No pre-market data,False
2025-08-14T05:50:38.926773+00:00,AAPD,,15.65,,1911621,No pre-market data,False
2025-08-14T05:50:38.926776+00:00,AAPG,,40.2,,5782,No pre-market data,False
2025-08-14T05:50:38.926779+00:00,AAPL,,229.65,,69612104,No pre-market data,False
2025-08-14T05:50:38.926782+00:00,AAPU,,27.02,,6580300,No pre-market data,False
2025-08-14T05:50:38.926784+00:00,AARD,,10.04,,78843,No pre-market data,False
2025-08-14T05:50:38.926787+00:00,AAUS,,51.6509,,101,No pre-market data,False
2025-08-14T05:50:38.926790+00:00,AAVM,,27.55,,512,No pre-market data,False
2025-08-14T05:50:38.926793+00:00,AAXJ,,85.9,,425250,No pre-market data,False
2025-08-14T05:50:38.926795+00:00,ABAT,,2.33,,5405508,No pre-market data,False
2025-08-14T05:50:38.926798+00:00,ABCL,,4.27,,5602152,No pre-market data,False
2025-08-14T05:50:38.926801+00:00,ABCS,,29.3101,,5112,No pre-market data,False
2025-08-14T05:50:38.926803+00:00,ABEO,,6.38,,813704,No pre-market data,False
2025-08-14T05:50:38.926806+00:00,ABI,,25.15,,41,No pre-market data,False
2025-08-14T05:50:38.926809+00:00,ABIG,,30.94,,2915,No pre-market data,False
2025-08-14T05:50:38.926812+00:00,ABL,,6.29,,673655,No pre-market data,False
2025-08-14T05:50:38.926814+00:00,ABLLL,,25.445,,4232,No pre-market data,False
2025-08-14T05:50:38.926817+00:00,ABLLW,,1.24,,100,No pre-market data,False
2025-08-14T05:50:38.926820+00:00,ABLV,,0.91,,1321,No pre-market data,False
2025-08-14T05:50:38.926822+00:00,ABLVW,,0.0203,,2438,No pre-market data,False
2025-08-14T05:50:38.926825+00:00,ABNB,,121.61,,6617522,No pre-market data,False
2025-08-14T05:50:38.926828+00:00,ABOS,,1.26,,223514,No pre-market data,False
2025-08-14T05:50:38.926831+00:00,ABP,,0.245,,4596076,No pre-market data,False
2025-08-14T05:50:38.926833+00:00,ABPWW,,0.0275,,44276,No pre-market data,False
2025-08-14T05:50:38.926836+00:00,ABSI,,2.97,,13460416,No pre-market data,False
2025-08-14T05:50:38.926839+00:00,ABTS,,4.0295,,9159,No pre-market data,False
2025-08-14T05:50:38.926841+00:00,ABUS,,3.4,,733542,No pre-market data,False
2025-08-14T05:50:38.926844+00:00,ABVC,,2.94,,77870,No pre-market data,False
2025-08-14T05:50:38.926847+00:00,ABVE,,1.76,,3271050,No pre-market data,False
2025-08-14T05:50:38.926849+00:00,ABVEW,,0.1666,,89553,No pre-market data,False
2025-08-14T05:50:38.926852+00:00,ABVX,,71.91,,1421636,No pre-market data,False
2025-08-14T05:50:38.926855+00:00,ACAD,,25.45,,1432782,No pre-market data,False
2025-08-14T05:50:38.926857+00:00,ACB,,5.27,,3250963,No pre-market data,False
2025-08-14T05:50:38.926860+00:00,ACDC,,6.32,,14671429,No pre-market data,False
2025-08-14T05:50:38.926863+00:00,ACET,,0.639,,960142,No pre-market data,False
2025-08-14T05:50:38.926865+00:00,ACFN,,28.59,,20367,No pre-market data,False
2025-08-14T05:50:38.926868+00:00,ACGL,,87.78,,2173917,No pre-market data,False
2025-08-14T05:50:38.926871+00:00,ACGLN,,17.4703,,36667,No pre-market data,False
2025-08-14T05:50:38.926873+00:00,ACGLO,,20.9486,,23173,No pre-market data,False
2025-08-14T05:50:38.926876+00:00,ACHC,,20.33,,2905419,No pre-market data,False
2025-08-14T05:50:38.926879+00:00,ACHV,,2.44,,384921,No pre-market data,False
2025-08-14T05:50:38.926881+00:00,ACIC,,10.69,,183560,No pre-market data,False
2025-08-14T05:50:38.926884+00:00,ACIU,,2.15,,61834,No pre-market data,False
2025-08-14T05:50:38.926887+00:00,ACIW,,46.34,,1099345,No pre-market data,False
2025-08-14T05:50:38.926889+00:00,ACLS,,81.32,,859968,No pre-market data,False
2025-08-14T05:50:38.926892+00:00,ACLX,,72.52,,1237997,No pre-market data,False
2025-08-14T05:50:38.926895+00:00,ACMR,,24.93,,1073651,No pre-market data,False
2025-08-14T05:50:38.926897+00:00,ACNB,,44.57,,30750,No pre-market data,False
2025-08-14T05:50:38.926900+00:00,ACNT,,12.86,,29179,No pre-market data,False
2025-08-14T05:50:38.926903+00:00,ACOG,,9.7,,76242,No pre-market data,False
2025-08-14T05:50:38.926905+00:00,ACON,,7.28,,6689,No pre-market data,False
2025-08-14T05:50:38.926908+00:00,ACONW,,0.0402,,302,No pre-market data,False
2025-08-14T05:50:38.926911+00:00,ACRS,,1.64,,1582775,No pre-market data,False
2025-08-14T05:50:38.926913+00:00,ACRV,,1.25,,223773,No pre-market data,False
2025-08-14T05:50:38.926916+00:00,ACT,,37.72,,274471,No pre-market data,False
2025-08-14T05:50:38.926919+00:00,ACTG,,3.34,,285232,No pre-market data,False
2025-08-14T05:50:38.926921+00:00,ACTU,,8.67,,173059,No pre-market data,False
2025-08-14T05:50:38.926924+00:00,ACWI,,132.95,,2030250,No pre-market data,False
2025-08-14T05:50:38.926927+00:00,ACWX,,62.49,,743329,No pre-market data,False
2025-08-14T05:50:38.926929+00:00,ACXP,,4.435,,82410,No pre-market data,False
2025-08-14T05:50:38.926932+00:00,ADAG,,1.91,,106936,No pre-market data,False
2025-08-14T05:50:38.926935+00:00,ADAP,,0.0768,,23471756,No pre-market data,False
2025-08-14T05:50:38.926937+00:00,ADBE,,338.43,,4160830,No pre-market data,False
2025-08-14T05:50:38.926940+00:00,ADBG,,10.34,,186447,No pre-market data,False
2025-08-14T05:50:38.926943+00:00,ADD,,0.56,,125117897,No pre-market data,False
2025-08-14T05:50:38.926946+00:00,ADEA,,14.77,,483255,No pre-market data,False
2025-08-14T05:50:38.926949+00:00,ADGM,,1.285,,7274,No pre-market data,False
2025-08-14T05:50:42.813121+00:00,ADI,,232.04,,3611878,No pre-market data,False
2025-08-14T05:50:42.813138+00:00,ADIL,,0.395,,645417,No pre-market data,False
2025-08-14T05:50:42.813142+00:00,ADMA,,16.76,,2894538,No pre-market data,False
2025-08-14T05:50:42.813145+00:00,ADN,,3.12,,2081272,No pre-market data,False
2025-08-14T05:50:42.813148+00:00,ADNWW,,0.0098,,5824633,No pre-market data,False
2025-08-14T05:50:42.813151+00:00,ADP,,299.63,,2265994,No pre-market data,False
2025-08-14T05:50:42.813154+00:00,ADPT,,12.66,,2358669,No pre-market data,False
2025-08-14T05:50:42.813157+00:00,ADSE,,11.43,,73974,No pre-market data,False
2025-08-14T05:50:42.813160+00:00,ADSEW,,1.14,,1,No pre-market data,False
2025-08-14T05:50:42.813163+00:00,ADSK,,283.03,,1913615,No pre-market data,False
2025-08-14T05:50:42.813165+00:00,ADTN,,9.1,,782698,No pre-market data,False
2025-08-14T05:50:42.813169+00:00,ADTX,,1.03,,154644,No pre-market data,False
2025-08-14T05:50:42.813171+00:00,ADUR,,11.67,,186966,No pre-market data,False
2025-08-14T05:50:42.813175+00:00,ADUS,,113.06,,262480,No pre-market data,False
2025-08-14T05:50:42.813178+00:00,ADV,,1.86,,748046,No pre-market data,False
2025-08-14T05:50:42.813181+00:00,ADVB,,0.4045,,242883,No pre-market data,False
2025-08-14T05:50:42.813184+00:00,ADVM,,2.47,,97915,No pre-market data,False
2025-08-14T05:50:42.813187+00:00,ADVWW,,0.009,,58058,No pre-market data,False
2025-08-14T05:50:42.813190+00:00,ADXN,,7.9,,3100,No pre-market data,False
2025-08-14T05:50:42.813193+00:00,AEBI,,11.49,,426630,No pre-market data,False
